kid,value,idf
"400","75939","6.845722"
"401","36371","6.903765"
"402","36372","6.982481"
"403","36373","6.973897"
"404","36374","6.919830"
"405","36375","6.991139"
"406","36376","6.903765"
"407","3750","6.965386"
"408","61310","6.901775"
"409","61311","6.905759"
"410","61312","6.923887"
"411","61313","6.917808"
"412","61314","6.961158"
"413","61315","6.940280"
"414","61316","6.803397"
"415","61317","6.889917"
"416","61318","6.858967"
"417","3748","7.010898"
"418","61308","6.884041"
"419","3749","6.956947"
"420","61309","6.963270"
"421","75940","6.919830"
"422","36377","6.889917"
"423","3740","6.927960"
"424","75941","6.889917"
"425","36378","6.903765"
"426","3741","6.889917"
"427","75942","6.858967"
"428","36379","6.838231"
"429","3742","6.874322"
"430","75943","6.991139"
"431","3743","6.950665"
"432","75944","6.952754"
"433","3744","6.872390"
"434","75945","6.927960"
"435","3745","6.887955"
"436","75946","6.993315"
"437","3746","6.932050"
"438","75947","6.907757"
"439","3747","6.954849"
"440","75948","6.973897"
"441","3760","6.963270"
"442","3761","6.880142"
"443","3759","6.923887"
"444","3751","6.938217"
"445","3752","6.860874"
"446","3753","6.840099"
"447","3754","6.880142"
"448","3755","6.905759"
"449","3756","6.903765"
"450","3757","6.936157"
"451","3758","6.851377"
"452","3770","6.909759"
"453","3771","6.905759"
"454","3772","6.959051"
"455","3762","6.858967"
"456","3763","6.907757"
"457","3764","6.961158"
"458","3765","6.946498"
"459","3766","6.976036"
"460","3767","6.905759"
"461","3768","6.948579"
"462","3769","6.956947"
"463","3780","6.907757"
"464","3781","6.897807"
"465","3782","6.884041"
"466","3783","6.880142"
"467","3773","6.872390"
"468","3774","6.847603"
"469","3775","6.976036"
"470","3776","6.917808"
"471","3777","6.961158"
"472","3778","6.895829"
"473","3779","6.946498"
"474","3790","6.810631"
"475","3791","6.925921"
"476","3792","7.006473"
"477","3793","6.982481"
"478","3794","6.925921"
"479","3784","6.903765"
"480","3785","6.872390"
"481","3786","6.889917"
"482","3787","6.845722"
"483","3788","6.857064"
"484","3789","6.930003"
"485","3795","6.868536"
"486","3796","6.868536"
"487","3797","6.921856"
"488","3798","6.905759"
"489","3799","6.940280"
"490","36528","6.995496"
"491","36529","6.952754"
"492","36520","6.986801"
"493","36521","6.915790"
"494","36522","6.895829"
